Timestamp,Your initials,Institution,Statistical consulting,Web scraping,Text data mining or text analysis,Data repository or data preservation,Electronic lab notebooks,"Reproducible research (really looking for the word ""reproducible"" or ""replicable"")",Open Science Framework or OSF,DMPTool,"Software, Data, or Library Carpentry workshops","Aerial photos, imagery, or LiDAR (related to GIS)","Version control (e.g. Git, GitHub, Bitbucket)","Geospatial data and GIS general support, consults","Geospatial data and GIS general support, instruction","Geospatial data and GIS general support, web resources","Geospatial and GIS software, consults","Geospatial and GIS software, instruction","Geospatial and GIS software, web resources","Data management support, general, consults","Data management support, general, instruction","Data management support, general, web resources","Data management plans, consults","Data management plans, instruction","Data management plans, web resources","Data visualization software, consults","Data visualization software, instruction","Data visualization software, web resources","Data analysis or programming, consults","Data analysis or programming, instruction","Data analysis or programming, web resources",Other service 1,Other service 2,Other service 3,Other service 4,Other service 5
6/26/2020 9:17:40,CG,"University of California, Los Angeles",https://calendly.com/data-science-team,https://www.library.ucla.edu/support/research-help/research-data-services,https://guides.library.ucla.edu/text,https://www.library.ucla.edu/location/data-science-center/data-archive-collections,,,,https://guides.library.ucla.edu/c.php?g=180539&p=1189314,https://calendly.com/data-science-team,https://guides.library.ucla.edu/maps/aerial-photos,https://www.library.ucla.edu/datasquad,https://calendly.com/data-science-team,,https://guides.library.ucla.edu/c.php?g=180507&p=1187577,https://calendly.com/data-science-team,,https://guides.library.ucla.edu/c.php?g=180507&p=1187577,https://www.library.ucla.edu/support/research-help/research-data-services,https://guides.library.ucla.edu/data-management-sciences,https://guides.library.ucla.edu/data-management-sciences,https://www.library.ucla.edu/support/research-help/research-data-services,,https://guides.library.ucla.edu/c.php?g=180539&p=1189314,https://www.library.ucla.edu/datasquad,https://www.library.ucla.edu/support/research-help/research-data-services,,https://www.library.ucla.edu/datasquad,,,,,,,
6/26/2020 14:03:15,AC,"University of Colorado, Boulder",,,,https://scholar.colorado.edu/about,,,https://www.colorado.edu/libraries/research-assistance/open-access,,,https://geo.colorado.edu/,,,,https://geo.colorado.edu/,,,https://geo.colorado.edu/,,,,,,,,,,,,,,,,,
6/26/2020 14:32:10,AC,University of Florida,https://guides.uflib.ufl.edu/educationalstats,,https://guides.uflib.ufl.edu/digitalhumanities/dh/tools,https://guides.uflib.ufl.edu/c.php?g=636498&p=5441695,https://guides.uflib.ufl.edu/c.php?g=729909&p=5215812,https://guides.uflib.ufl.edu/reproducibility,https://guides.uflib.ufl.edu/datamanagement/tools,https://guides.uflib.ufl.edu/c.php?g=729909&p=5215812,https://datacarpentry.org/lessons/,https://cms.uflib.ufl.edu/maps/collections,https://guides.uflib.ufl.edu/c.php?g=1007095&p=7296054,https://guides.uflib.ufl.edu/c.php?g=147404&p=966619,https://guides.uflib.ufl.edu/c.php?g=147838&p=969165,https://guides.uflib.ufl.edu/c.php?g=147404&p=966619,https://guides.uflib.ufl.edu/c.php?g=147404&p=966619,,,,https://guides.uflib.ufl.edu/datamanagement/home,,,https://guides.uflib.ufl.edu/datamanagement/dmp,https://guides.uflib.ufl.edu/datamanagement/tableau,,https://guides.uflib.ufl.edu/images,https://guides.uflib.ufl.edu/Visualization,,,,,,,,
6/27/2020 10:14:59,AC,University of Illinois at Urbana-Champaign,https://www.library.illinois.edu/sc/statistical-consulting/,,https://guides.library.illinois.edu/textmining,https://www.library.illinois.edu/scp/repositories/,,https://guides.library.illinois.edu/c.php?g=706469&p=6591153,https://guides.library.illinois.edu/c.php?g=348005&p=3423447,https://guides.library.illinois.edu/istclibraryguide/datamgmt,,https://www.library.illinois.edu/max/collections/aerial_photographs/#ILPhotos,https://guides.library.illinois.edu/c.php?g=736070,https://www.library.illinois.edu/sc/gis/consult/,https://www.library.illinois.edu/sc/gis/workshops/,https://www.library.illinois.edu/sc/gis/community/,https://www.library.illinois.edu/sc/gis/consult/,https://www.library.illinois.edu/sc/gis/software/,,,http://guides.library.illinois.edu/introdata,,,https://www.library.illinois.edu/rds/plan/,,,https://guides.library.illinois.edu/visualize-your-data/,https://www.library.illinois.edu/sc/services/data-visualization/,,https://guides.library.illinois.edu/STATA,https://www.library.illinois.edu/search.php?q=Data+analysis+or+programming&hl=en&safe=off&filter=0,,,,,
6/27/2020 10:28:32,AC,University of Iowa,,https://dsps.lib.uiowa.edu/digital-oxford-twp/2020/02/12/web-scraping-with-python-workshop/,https://dsps.lib.uiowa.edu/programera/2018/10/10/extracting-and-organizing-htrc-corpora-tips-tool-and-walkthrough/,https://www.lib.uiowa.edu/data/share/data-repositories/,https://www.lib.uiowa.edu/data/manage/documenting/lab-notebooks/,https://blog.lib.uiowa.edu/news/2018/11/09/ui-libraries-collaborates-to-expand-access-to-research-data/,,https://www.lib.uiowa.edu/data/plan/tools/,,https://www.lib.uiowa.edu/maps/aerial/,https://dsps.lib.uiowa.edu/bam/github/,https://guides.lib.uiowa.edu/c.php?g=132116&p=2316517,https://guides.lib.uiowa.edu/c.php?g=132116&p=862378,https://guides.lib.uiowa.edu/c.php?g=132116&p=862462,,https://guides.lib.uiowa.edu/c.php?g=132116&p=6634664,https://guides.lib.uiowa.edu/c.php?g=132116&p=2713587,,http://www.lib.uiowa.edu/data/plan/,http://www.lib.uiowa.edu/data/plan/funder-and-ui-requirements/,,http://www.lib.uiowa.edu/data/plan/tools/,,https://www.lib.uiowa.edu/data/data-analysis/,https://ppc.uiowa.edu/isrc/methods-consulting,,,http://www.lib.uiowa.edu/data/events/,https://its.uiowa.edu/big-data-analytics,,,,,
6/27/2020 10:40:06,AC,"University of Maryland, College Park",https://www.lib.umd.edu/rc/statistical-consulting,https://www.lib.umd.edu/binaries/content/assets/public/gis/introduction-to-python-workbook-updated-020719.pdf,https://lib.guides.umd.edu/textmining,https://www.lib.umd.edu/data/repositories,https://www.lib.umd.edu/binaries/content/assets/public/chemistry/elns/quick-start.pdf,,https://www.lib.umd.edu/news/2015/02/open-science,https://www.lib.umd.edu/data/dmp,https://www.lib.umd.edu/rc/data-science,https://www.lib.umd.edu/dbfinder/list/facet/Subject/GIS+and+Maps,,,https://www.lib.umd.edu/gis/learning,https://www.lib.umd.edu/gis/data-and-resources,https://www.lib.umd.edu/gis/people-and-facilities,https://www.lib.umd.edu/binaries/content/assets/public/gis/open-source-geospatial-tools-workbook-update-2019.pdf,https://www.lib.umd.edu/gis/research,https://www.lib.umd.edu/data/events,https://www.lib.umd.edu/data/data-mgmt,https://www.lib.umd.edu/data/data-mgmt,,https://www.lib.umd.edu/data/dmp,https://www.lib.umd.edu/data/dmp,,https://www.lib.umd.edu/binaries/content/assets/public/gis/data-viz-workbook---final-july-20189.13.18.pdf,,https://www.lib.umd.edu/rc/data-science,https://lib.guides.umd.edu/c.php?g=327087&p=3506810,https://lib.guides.umd.edu/c.php?g=327087&p=3506810,,,,,
6/27/2020 13:36:37,CG,"University of Colorado, Boulder",https://calendar.colorado.edu/event/lisa_consult_hours?utm_campaign=widget&utm_medium=widget&utm_source=University+of+Colorado+Boulder,https://osf.io/36mj4/,https://www.colorado.edu/crdds/learning-materials,,,,https://www.colorado.edu/libraries/research/research-data-initiative/open-science-framework-institutions,https://www.colorado.edu/libraries/research-assistance/data-services,https://www.colorado.edu/libraries/research-assistance/data-services,https://libguides.colorado.edu/strategies/maps,,https://www.colorado.edu/libraries/research/consultation,,https://libguides.colorado.edu/strategies/maps,,https://www.colorado.edu/libraries/research/digital-scholarship,,https://www.colorado.edu/libraries/research-assistance/data-services,https://www.colorado.edu/crdds/what-we-do/research-data-management,,https://www.colorado.edu/libraries/research-assistance/data-services,,,https://calendar.colorado.edu/event/interdisciplinary_data_consult_hours_5549?utm_campaign=widget&utm_medium=widget&utm_source=University+of+Colorado+Boulder,https://osf.io/36mj4/,https://www.colorado.edu/crdds/learning-materials,https://calendar.colorado.edu/event/interdisciplinary_data_consult_hours_5549?utm_campaign=widget&utm_medium=widget&utm_source=University+of+Colorado+Boulder,https://osf.io/36mj4/,,,,,,
6/28/2020 15:13:38,AC,"University of Minnesota, Twin Cities",,,https://libguides.umn.edu/text-mining,https://conservancy.umn.edu/handle/11299/166578,https://www.lib.umn.edu/datamanagement/eln,https://www.lib.umn.edu/researchsupport/reproducibility,https://www.lib.umn.edu/scholcom/open-science,https://www.lib.umn.edu/datamanagement/dmp,,https://www.lib.umn.edu/borchert/gis-data,https://www.continuum.umn.edu/event/programming-pizza-5/,,https://www.lib.umn.edu/borchert/gis-data,https://www.lib.umn.edu/borchert/map-geography-online-resources,,https://www.lib.umn.edu/borchert/automated-cartographic-information-center,https://www.lib.umn.edu/borchert/automated-cartographic-information-center,,https://www.lib.umn.edu/datamanagement/best-practices-templates,https://www.lib.umn.edu/datamanagement/best-practices-templates,https://www.lib.umn.edu/datamanagement/workshops,https://www.lib.umn.edu/datamanagement/workshops,https://www.lib.umn.edu/datamanagement/dmp,,https://libguides.umn.edu/datavis,https://libguides.umn.edu/c.php?g=921727&p=6642972,https://www.lib.umn.edu/datamanagement/computing,https://www.lib.umn.edu/datamanagement/computing,https://www.lib.umn.edu/datamanagement/computing,,,,,
6/28/2020 15:30:10,AC,University of Oregon,https://library.uoregon.edu/research-data-management/consultations,,https://library.uoregon.edu/digital-scholarship-workshop-demand-tbd,https://researchguides.uoregon.edu/scholarsbank/faculty-publishing-data,http://researchguides.uoregon.edu/library_workshops/digital_projects,,http://researchguides.uoregon.edu/library_workshops/using_osf,https://researchguides.uoregon.edu/dmp-tool,,https://library.uoregon.edu/map/or/gis_or_city,http://researchguides.uoregon.edu/library_workshops/version_control,,https://researchguides.uoregon.edu/gis/data,https://library.uoregon.edu/dc/dlc/geospatialdata.html,,https://library.uoregon.edu/portland/gis,https://library.uoregon.edu/map/general_libInfo/library_checkout,,https://researchguides.uoregon.edu/data-management/services,https://researchguides.uoregon.edu/data-management/services,,https://researchguides.uoregon.edu/data-management,https://researchguides.uoregon.edu/data-management,https://library.uoregon.edu/psc-visualization-lab,https://library.uoregon.edu/psc-visualization-lab,https://library.uoregon.edu/scilib/psc-visualization-lab-resources,https://library.uoregon.edu/research-data-management/consultations,https://researchguides.uoregon.edu/c.php?g=567658&p=3987370,https://researchguides.uoregon.edu/c.php?g=567658&p=3987370,,,,,
6/28/2020 18:19:05,AC,University of Texas at Austin,,https://www.lib.utexas.edu/events/238,https://www.lib.utexas.edu/events/238,https://data.tdl.org/,,,,https://www.lib.utexas.edu/research-help-support/research-data-services,https://www.lib.utexas.edu/events/285,https://www.lib.utexas.edu/events/356,https://www.lib.utexas.edu/events/76,,https://www.lib.utexas.edu/research-help-support/gis-geospatial-data-services,https://guides.lib.utexas.edu/gis/gis-events-and-resources,,https://www.lib.utexas.edu/research-help-support/gis-geospatial-data-services,https://guides.lib.utexas.edu/gis,https://www.lib.utexas.edu/research-help-support/research-data-services,,,https://www.lib.utexas.edu/research-help-support/research-data-services,,https://www.lib.utexas.edu/research-help-support/research-data-services,,https://www.lib.utexas.edu/events/312,,,https://www.lib.utexas.edu/events/234,,,,,,
